id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
hre,Hre,2,Words derived from Min Nan Chinese te,1,14.6666666667,108.666666667,Bahnaric,Austro-Asiatic,Trebilco et al. 1974,http://wals.info/valuesets/138A-hre,http://wals.info/languoid/lect/wals_code_hre,http://wals.info/refdb/record/Trebilco-et-al-1974[1]
hun,Hungarian,2,Words derived from Min Nan Chinese te,950,47,20,Ugric,Uralic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-hun,http://wals.info/languoid/lect/wals_code_hun,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[950]
ice,Icelandic,2,Words derived from Min Nan Chinese te,978,65,-17,Germanic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ice,http://wals.info/languoid/lect/wals_code_ice,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[978]
ind,Indonesian,2,Words derived from Min Nan Chinese te,970,0,106,Malayo-Sumbawan,Austronesian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ind,http://wals.info/languoid/lect/wals_code_ind,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[970]
ing,Ingush,1,Words derived from Sinitic cha,1572,43.1666666667,45.0833333333,Nakh,Nakh-Daghestanian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ing,http://wals.info/languoid/lect/wals_code_ing,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1572]
inu,Iñupiaq,3,Others,NA,67,-161,Eskimo,Eskimo-Aleut,Webster and Zibell n.d.,http://wals.info/valuesets/138A-inu,http://wals.info/languoid/lect/wals_code_inu,http://wals.info/refdb/record/Webster-and-Zibell-nd
iri,Irish,2,Words derived from Min Nan Chinese te,894,53,-8,Celtic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-iri,http://wals.info/languoid/lect/wals_code_iri,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[894]
ita,Italian,2,Words derived from Min Nan Chinese te,987,43,12,Romance,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ita,http://wals.info/languoid/lect/wals_code_ita,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[987]
jav,Javanese,2,Words derived from Min Nan Chinese te,390,-7,111,Javanese,Austronesian,Sugiarto 1993,http://wals.info/valuesets/138A-jav,http://wals.info/languoid/lect/wals_code_jav,http://wals.info/refdb/record/Sugiarto-1993[390]
jmo,Jur Mödö,1,Words derived from Sinitic cha,NA,6,30,Bongo-Bagirmi,Central Sudanic,Persson and Persson 1991,http://wals.info/valuesets/138A-jmo,http://wals.info/languoid/lect/wals_code_jmo,http://wals.info/refdb/record/Persson-and-Persson-1991
